duration;nb_steps;mean_train;max_train;min_train;mean_test_agent;max_test_agent;min_test_agent;mean_test_own;max_test_own;min_test_own;break_counter;n;windows_length;adam_learning_rate;adam_epsilon;batch_size;target_model_update;dueling_option;activation;layers;unit_1;unit_2;unit_3
343.472663;20000;-44.88209378733573;-33.0;-82.96666666666667;-43.01033333333333;-34.53333333333333;-63.03333333333333;15.137392661982826;35;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;80;16;64
360.660028;20000;-45.597734311328445;-32.333333333333336;-90.4;-40.494666666666674;-33.93333333333334;-63.36666666666667;14.517495395948435;46;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;48;16;32
354.293705;20000;-43.42216430876148;-32.4;-71.23333333333333;-37.546;-34.86666666666667;-40.0;18.813612565445027;50;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;64;16;16
305.216463;20000;-46.72465730524908;-32.93333333333334;-89.1;-43.28066666666667;-34.333333333333336;-60.13333333333333;16.08091603053435;37;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;80;64;80
303.777065;20000;-43.332140852974184;-34.0;-73.4;-38.659333333333336;-34.36666666666667;-48.9;13.708978328173375;46;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;64;64;48
309.921031;20000;-44.527189362677674;-33.833333333333336;-75.06666666666666;-43.895333333333326;-34.36666666666667;-70.5;12.713731574864235;33;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;80;48;48
314.419408;20000;-44.76550007777259;-34.6;-88.46666666666667;-46.46300000000001;-36.766666666666666;-63.233333333333334;17.48186889818689;44;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;80;80;64
318.682809;20000;-42.73971326164875;-32.6;-74.56666666666666;-38.714333333333336;-32.06666666666666;-47.5;17.678008298755188;45;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;80;80;48
321.444196;20000;-43.103403447268484;-32.766666666666666;-74.0;-39.187999999999995;-34.5;-45.833333333333336;14.545135845749343;52;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;16;16;64
329.016905;20000;-42.85736990154712;-32.2;-73.4;-39.958;-32.0;-54.0;15.283178360101436;33;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;64;32;64
335.700094;20000;-44.62222682690979;-33.2;-72.83333333333334;-42.32900000000001;-34.06666666666666;-55.5;15.237756714060032;71;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;80;32;48
335.543781;20000;-44.18110139591962;-33.3;-81.4;-43.92633333333333;-34.5;-63.06666666666666;15.574468085106384;56;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;64;64;80
340.3495;20000;-44.30612118394546;-32.96666666666667;-73.0;-40.56366666666666;-34.333333333333336;-62.63333333333333;17.907103825136613;46;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;32;32;80
341.222232;20000;-44.120367728641625;-33.8;-71.8;-44.67000000000001;-36.36666666666667;-62.86666666666667;14.94078947368421;42;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;48;48;80
352.665812;20000;-44.38630849220104;-31.866666666666667;-89.46666666666667;-47.84133333333333;-34.43333333333334;-70.9;16.097117794486216;37;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;64;64;64
379.549636;20000;-43.139727227227226;-32.3;-84.5;-37.10166666666667;-32.63333333333333;-39.0;13.606837606837606;37;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;16;16;32
391.58275;20000;-43.5809800417039;-31.333333333333336;-70.9;-38.971666666666664;-34.3;-59.9;15.01404741000878;34;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;64;16;64
375.018165;20000;-44.585064935064935;-33.03333333333333;-80.36666666666667;-37.251000000000005;-31.46666666666667;-42.93333333333334;15.023529411764706;37;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;32;32;32
